USE_CODE,LUC_Assign,L3_Description,USE_DESC
1067,106,Accessory Land with improvement,Residential-COV-PKG
1063,106,Accessory Land with improvement,AC IMP WTR
1062,106,Accessory Land with improvement,Residential Land-IMP PT UNDEV
1061,106,Accessory Land with improvement,Residential Land-IMP PT DEV
1060,106,Accessory Land with improvement,NA
1058,105,Three Family,NA
1053,105,Three Family,THREE FAM WTR
1051,105,Three Family,NA
1050,105,Three Family,NA
1048,104,Two Family,NA
1045,104,NA,TWO FAM IN LAW
1043,104,Two Family,TWO FAMILY WTR
1042,104,Two Family,NA
1041,104,Two Family,NA
1040,104,Two Family,NA
1035,103,Mobile Home,MHP/ House
1034,103,Mobile Home,Mobile Hm w/C
1032,103,Mobile Home,MHP Land
1031,103,Mobile Home,NA
1030,103,Mobile Home,NA
1029,102,NA,Condo
1027,102,Condominium,COMMON LN
1024,102,Condominium,NA
1023,102,Condominium,Condo Vac
1022,102,Condominium,NA
1021,102,Condominium,Condo NL MDL-0
1020,102,Condominium,NA
1018,101,Single Family,NA
1017,101,Single Family,NA
1016,101,Single Family,NA
1015,101,Single Family,SINGLE FAM IN LAW
1014,101,Single Family,Single Family with Auxilliary Apartment
1013,101,Single Family,SFR WATER  MDL-01
1012,101,Single Family,Single Family Ocean
1011,101,Single Family,Single Family No Land
1010,101,Single Family,NA
1001,100,NA,NA
999,999,NA,Unknown
998,998,NA,"Condominium Common Land - Class 4 Industrial, Exempt"
997,997,Other,NA
996,996,"Other, Non-taxable condo common land",NA
995,995,"Other, Open Space",NA
994,994,Improved County or Regional Association Commission,NA
993,993,Improved County or Regional Correctional,NA
992,992,"Improved, County or Regional, Deeds or Admin",NA
991,991,"Vacant, County or Regional",NA
990,990,121A Corporations,NA
989,989,"Improved , Other District",NA
988,988,"Vacant, Other District",NA
987,987,NA,NA
986,986,NA,NA
985,985,"Improved Municipal or Public Safety, Other City or Town",NA
983,983,NA,NA
982,982,"Vacant, Conservation, Other City or Town",NA
981,981,"Improved, Selectmen or City Council, Other City or Town",NA
980,980,"Vacant, Selectman or City Council, Other City or Town",NA
979,979,NA,NA
978,978,NA,NA
977,977,NA,Neighborhood Development Associates vacant (non-profit subsidiary of housing authority)
976,976,NA,Neighborhood Development Associates improved (non-profit subsidiary of housing authority)
975,975,"Vacant, Transportation Authority",NA
974,974,"Vacant, Utility Authority",NA
973,973,"Vacant, Housing Authority",NA
972,972,Transportation Authority,NA
971,971,"Utility Authority, Electric, Light, Sewer, Water",NA
970,970,Housing Authority,NA
969,969,NA,NA
968,968,NA,NA
966,966,NA,NA
965,965,NA,NA
964,964,NA,Other
963,963,NA,Religious - Vacant or Accessory Land
962,962,Other,NA
961,961,Rectory or Parsonage,NA
960,960,"Chruch, Mosque, Synagogue, Temple, etc.",mixed use church
959,959,"Housing, Other",NA
958,958,"Recreation, Active Use",NA
957,957,Charitable Services,NA
956,956,"Libraries, Museums",MIXED USE EXEMPT
955,955,Hospitals,NA
954,954,"Function Halls, Community Centers",NA
953,953,Cemeteries,NA
952,952,"Auxiliary Use (Storage, Barns, etc.)",NA
951,951,Other,NA
950,950,"Vacant, Conservation Organizations",NA
948,948,NA,NA
947,947,Other,NA
946,946,Vacant,NA
945,945,Affiliated Housing,NA
944,944,Auxiliary Athletic,NA
943,943,Other Educational,NA
942,942,College or University,NA
941,941,Secondary Level,NA
940,940,Elementary Level,NA
939,939,"Improved, District",NA
938,938,Vacant. District,NA
937,937,"Improved, Tax Title/Treasurer",NA
936,936,"Vacant, Tax,Title/Treasurer",NA
935,935,"Improved, Muni public safety",NA
934,934,"Improved, Education",NA
933,933,"Vacant, Education",NA
932,932,"Vacant, Conservation",NA
931,931,"Improved, Selectmen or City Council",NA
930,930,"Vacant, Selectman or City Council",NA
929,929,Other,NA
928,928,Div of Capital Asset Management,NA
927,927,"Education - Umass, State Colleges, Comm Colleges",NA
926,926,Judiciary,NA
925,925,Dept of Conservation and Recreation,NA
924,924,Mass Highway Dept.,NA
923,923,Dept of Mental Health,NA
922,922,"Dept of Corrections, Div of Youth Services, Mass Military, State Police, Sheiff's Depts",NA
921,921,"Div of Fisheries and Wildlife,  DFW Environ Law Enforcement",NA
920,920,"Dept of Conservation and Recreation, Div of Urban Parks",NA
919,919,Other,NA
918,918,"Dept of Environmental Protection, Low-level Radioactive Waster Management",NA
917,917,"Education, Umass, State Colleges, Comm Colleges",NA
916,916,Military Div - Campgrounds,NA
915,915,"Dept of Conservation and Recreation, Div of Water Supply Protection",NA
914,914,Dept of Mental Health,NA
913,913,"Dept of Public Health, Soldiers' Homes",Dept. of Public Health (DPH) - Soldiers' Homes
912,912,"Dept of Correction, Div of Youth Services",NA
911,911,"Div of Fisheries and Wildlife, Environmental Law Enforcement",NA
910,910,"Dept of Conservation and Recreation, Div of state parks",NA
909,909,NA,Railroad ROW - Titled Ownership
908,908,NA,NA
907,907,NA,NA
906,906,NA,NA
905,905,NA,NA
904,904,NA,NA
903,903,NA,NA
902,902,NA,NA
901,901,BLANK,NA
900,900,United States Government,NA
861,68,NA,Mixed Use (Chapter 61 and 61b land)
831,831,NA,NA
815,815,Productive Woodland - woodlot,NA
814,814,"Target Shooting - areas for target shooting such as archery, skeet or approved firearms",NA
812,812,Picknicking Areas,NA
811,811,Swimming Areas,NA
810,810,Nordic Skiing,NA
809,809,Apline Skiing,NA
808,808,Fishing Areas,NA
807,807,Hunting - areas for the hunting of wildlife and Fishing Areas,NA
806,806,Horseback Riding - trails or areas,NA
805,805,Golfing - area of land arraged as a golf course,NA
804,804,Boating - areas for recreational boating and supporting land facilities,NA
803,803,Nature Study,NA
802,802,camping,NA
801,801,"Hiking - trails or paths, Camping - areas with sites for overnight camping, Nature Study - areas specifically for nature study or observation",NA
800,800,NA,NA
783,783,NA,Chapter 61A/chapter 61B/Commercial
722,722,NA,Non-productive Woodland (Chapter Land)
720,720,"Wet land, scrub land, rock land",NA
719,719,Nurseries,"Nurseries (Ch. 61A, not classified as Open Space)"
718,718,Pasture,"Pasture (Ch. 61A, not classified as Open Space)"
717,717,Productive Woodland - woodlot,NA
716,716,"Necessary related land - farm roads, ponds, land under farm buildings",NA
715,715,Christmas Trees,NA
714,714,"Orchards - pears, apples, grape vineyards, etc.",NA
713,713,"Field Crops - hay, wheat, tillable forage cropland, etc.",61A/Residential/Commercial
712,712,Truck Crops - Vegetables,NA
711,711,"Tobacco, Sod",NA
710,710,Cranberry Bog,NA
610,610,NA,NA
602,602,Christmas Trees,NA
601,601,All land designated under Chapter 61,NA
470,470,NA,NA
465,465,NA,NA
452,452,"Electric Generation Plants, Agreement Value",NA
451,451,"Electric Generation Plants, Renewable",NA
450,450,Electric Generation Plants,NA
446,446,NA,NA
445,445,NA,Industrial Condominiums
444,444,NA,Condo Warehouse
442,442,Undevelopable Land,NA
441,441,Potentially Developable Land,NA
440,440,Developable Land,NA
439,439,NA,NA
438,438,NA,NA
437,437,NA,NA
436,436,NA,Internet Service Provider
435,435,NA,Submarine Cable Terminus
434,434,NA,Cell Site
433,433,"radio, television trasmission facilities",NA
432,432,cable tv transmitting facilities,NA
431,431,telephone relay towers,NA
430,430,Telephone exchange stations,NA
428,428,gas pressure control stations,NA
427,427,Natural or manufactured gas storage,NA
426,426,Gas pipeline right-of-way,NA
425,425,gas production plants,NA
424,424,electricity regulating substations,NA
423,423,electric transmission right-of-way,NA
422,422,NA,NA
421,421,liquid natural gas tanks,NA
420,420,tanks,NA
417,417,NA,NA
415,415,NA,NA
414,414,NA,NA
413,413,other,NA
412,412,rock,NA
411,411,gypsum,NA
410,410,Sand and gravel,NA
409,4,NA,Unknown
408,408,NA,NA
407,407,NA,Clean-Manufacturing
406,406,NA,High-Tech
405,405,NA,Industrial Condominiums
404,404,research and development facilities,NA
403,403,land - integral part of manufacturing operation,NA
402,402,office buildings - part of manufacturing operation,Ind-Whse/Office
401,401,Warehouses for storage of manufactured products,mixed use industrial warehouse
400,400,Building for manufacturing operations,NA
399,399,NA,NA
395,395,NA,NA
394,394,NA,"Mixed Use commercial/exempt/industrial, primarily commercial"
393,393,Ag/Horticultural land not included in Chapter 61A,NA
392,392,Undevelopable Land,NA
391,391,Potentially Developable Land,POT DEVEL
390,390,Developable Land,NA
389,389,Structures on land classifed under chapter 61b,NA
388,388,"Other outdoor facilities - driving ranges, mini-golf, batting cages",NA
387,387,summer camps,NA
386,386,camping facilities,"Mixed Use - 385 ? fish and game, 392 ? com udv lnd, 814 ? Chapter 61 B Recreational land target and range and 601 ? Chapter land 61 forestry"
385,385,fish and game clubs,"Multiple Use, primarily recreational, table 5"
384,384,marinas,NA
383,383,Beaches or swimming pools,NA
382,382,riding stables,NA
381,381,tennis courts,Commercial/chapter 61B/Residential
380,380,Golf courses,NA
379,379,NA,NA
378,378,NA,NA
377,377,"archery, billiards. And other indoor facilities",NA
376,376,gymnasiums and athletic clubs,NA
375,375,tennis and/or racquetball courts,NA
374,374,health spas,NA
373,373,swimming pools,NA
372,372,roller skating,NA
371,371,ice skating,NA
370,370,Bowling,NA
369,369,other cultural and entertainment properties,NA
368,368,fairgrounds and amusement parks,NA
367,367,race tracks,NA
366,366,arenas and field houses,NA
365,365,stadiums,NA
364,364,legitimate theaters,Multiple use - theater
363,363,drive in movies,NA
362,362,motion picture theaters,NA
361,361,Art galleries,Multiple use - art galleries
360,360,Museums,NA
358,358,NA,NA
357,357,NA,NA
356,356,"Misc public services - prof membership orgs, business associations",NA
355,355,funeral homes,Funeral Homes
354,354,Bus Transportation facilities,NA
353,353,Fraternal Organizations,NA
352,352,"Day care centers, adult",NA
351,351,educational properties,NA
350,350,Property used for postal services,NA
349,349,NA,Medical Office Condominium
348,348,NA,NA
347,347,NA,"Mixed Use - Agricultural/Horticultural, Nurseries, Wet land, scrub land, rock land (Ch. 61A, not classified as Open Space)"
346,346,NA,"Commercial, Industrial, and Chapter 61B"
345,345,NA,Condo Retail
344,344,NA,Industrial Condominium
343,343,NA,Unknown
342,342,Medical Office Buildings,mixed use professional building
341,341,Bank Buildings,NA
340,340,General Office Buildings,NA
339,339,NA,Unknown
338,338,Other motor vehicles sales and services,NA
337,337,Parking Lots,NA
336,336,Parking Garages,NA
335,335,Car Wash facilities,Car Wash Facilities
334,334,"Gasoline Service Stations - providing engine repair or maintenance services, and fuel products",NA
333,333,Fuel Services Areas - providing only fuel products,NA
332,332,Auto Repair facilities,Multiple use - auto repair facilities
331,331,Automotive Supplies Sales and Serivice,AUTO S S&S
330,330,Automotive Vehicles Sales and Service,NA
329,329,NA,RTL-CONDO
328,328,NA,Retail Condominium
327,327,NA,Unknown
326,326,"Eating and Drinking Establishments - restaurants, fast food, diners, bars, nightclubs",REST/CLUBS
325,325,Small Retail and Services stores (< 10K sq.ft.),STORE
324,324,Supermarkets (> 10k sq. ft.),NA
323,323,Shopping Centers/Malls,NA
322,322,"Discount Stores, Junior Department Stores, Department Stores",mixed use  store/shop model 94
321,321,"Facilities providing buidling materials, hardware and farm equipment, heating, hardware, plumbing, lumber supplies and wquipment",NA
320,320,NA,Retail Condominiums
319,319,NA,Condominium-Warehouse
318,318,Commercial Greenhouses,NA
317,317,"Farm Buildings - barns, silos, utility shed, etc.","Mixed Use (Primarily Commercial, Residential, some Agricultureal Chapter)"
316,316,"Other Storage, Warehouse and Distribution facilities",mixed use commercial warehouse
315,315,"Piers, Wharves, Docks and related facilities that are used for storage and transit of goods",NA
314,314,Trucking Terminals,NA
313,313,Lumber Yards,NA
312,312,Grain and Feed Elevators,NA
311,311,Bottled Gas and Propane Gas Tanks,NA
310,310,"Tanks holding fuel and oil products for retail distribution, either above ground or below ground",NA
309,309,NA,NA
308,308,NA,NA
307,307,NA,NA
306,306,"Care and Treatment Facilities - designed and used on a transient basis, including half-way houses or other types of facilities that service the needs of people",NA
305,305,Private Hospitals,Private Hospitals
304,304,Nursing Homes - includes property designed for minimal care with or without medical facilities,NA
303,303,BLANK,Commercial Misc
302,302,"Inns, Resorts, or Tourist Homes",NA
301,301,Motels,MOTELS
300,300,Hotels,NA
292,292,NA,NA
281,281,"Hiking - trails or paths, Camping - areas with sites for overnight camping, Nature Study - areas specifically for nature study or observation",NA
279,279,Nurseries,NA
278,278,Pasture,NA
277,277,Productive Woodland - woodlot,NA
276,276,"Necessary related land - farm roads, ponds, land under farm buildings",NA
273,273,"Field Crops - hay, wheat, tillable forage cropland, etc.",NA
272,272,Truck Crops - Vegetables,NA
271,271,"Tobacco, Sod",NA
261,261,All land designated under Chapter 61,NA
211,211,Non-productive Vacant Land,NA
210,210,Non-productive Agricultural Land,NA
202,202,Underwater Land or Marshes not under public ownership located in  residential areas,NA
201,201,Residential Open Land,NA
199,199,NA,NA
198,106,NA,"Condominium, Residential Parking"
193,193,NA,"Mixed Use residential/exempt/ commercial, primarily residential"
179,179,NA,"Mixed use, primarily residential, with classified agricultural/horticultural use and an exempt windmill"
178,178,NA,Residential/chapter 61A/chapter 61B
173,173,NA,Residential/61A/Commercial
172,172,NA,Condominium
171,171,NA,NA
170,170,NA,NA
167,167,NA,"Mixed use, residential and Chapter 61, 61B"
160,160,NA,NA
150,150,NA,garage
142,140,Child Care Facility,Day Care
140,140,Child Care Facility,NA
139,139,NA,Mixed Use
138,0xx,Multiple Uses,"Residential, Commercial, Recreational"
137,137,NA,"Has house, commercial retail store, and sits on Chapter Land"
136,136,NA,NA
135,135,NA,NA
134,134,NA,"Mixed Use residential/commercial/industrial, primarily residential"
133,0xx,"Multiple Use, primarily residential",Multiuse Residential-COM
132,132,Undevelopable Land,NA
131,131,Potentially Developable Land,Potentially Developable Residential Land
130,130,Developable Land,NA
127,127,NA,NA
126,126,NA,APT OVER 8
125,125,Other Congregate Housing which includes non-transient shared living arrangements,NA
124,124,"Rectories, Convents, Monastaries",NA
123,123,Residence Halls or Dormitories,NA
122,122,Fraternity and Sorority Houses,NA
121,121,Rooming and Boarding Houses,NA
120,120,NA,NA
119,119,NA,NA
118,118,NA,NA
117,117,NA,NA
116,116,NA,NA
115,115,NA,NA
114,114,NA,NA
113,113,NA,Unknown
112,112,Greater than Eight Units,APT OVER 8
111,111,Four to Eight Units,APT 4-UNIT
110,110,NA,Other
109,109,Multiple houses on a single parcel,Multi Hses
108,108,BLANK,Res - 61B
107,107,BLANK,Single Family with Accessory Apartment
106,106,Accessory Land with improvement,NA
105,105,Three Family,NA
104,104,Two Family,Two Family MDL-01
103,103,Mobile Home,NA
102,102,Condominium,NA
101,101,Single Family,NA
98,980,NA,"Vacant, Selectmen or City Council, Other City or Town (Municipal)"
94,94,NA,Cell tower on municipal land
93,340,NA,Office-General
91,9,NA,Unknown
49,49,NA,Cell phone tower on town-owned property
48,48,NA,"Mixed Use (Primarily Industrial, some Recreation)"
47,47,NA,"Mixed Use (Primarily Industrial, some Agriculture)"
46,46,NA,"Mixed Use (Primarily Industrial, some Forest)"
43,43,NA,"Mixed Use (Primarily Industrial, some Commercial)"
39,39,NA,Mixed Use
38,38,NA,"Mixed Use (Primarily Commercial, some Recreation)"
37,37,NA,"Mixed Use (Primarily Commercial, some Agriculture)"
36,36,NA,"Mixed Use (Primarily Commercial, some Forest)"
34,34,NA,"Mixed Use (Primarily Commercial, some Industrial)"
31,0xx,"Multiple Use, primarily commercial","Mixed Use (Primarily Commercial, some Residential)"
27,0xx,Multiple Uses,NA
26,0xx,Multiple Uses,NA
25,0xx,Multiple Uses,NA
23,23,NA,OS / Commercial
18,18,NA,"Mixed Use (Primarily Residential, some Recreation)"
17,17,NA,"Mixed Use (Primarily Residential, some Agriculture)"
16,0xx,Multiple Uses,"Mixed Use (Primarily Residential, some Forest)"
14,14,NA,"Mixed Use (Primarily Residential, some Industrial)"
13,0xx,"Multiple Use, primarily residential","Mixed Use (Primarily Residential, some Commercial)"
11,0,NA,Unknown
10,0xx,Multiple Uses,NA
7,7,NA,Mixed Use
0,0,NA,Unknown
